indicator,season,n_rounds,first_round,last_round,mean_models,peak_models,distinct_models
ARI incidence,2024/25,41,2024-10-23,2025-07-30,6.3,9,14
ARI incidence,2025/26,50,2025-08-06,2026-07-15,7.3,14,15
COVID-19 hospitalisations,2024/25,41,2024-10-23,2025-07-30,8,11,13
COVID-19 hospitalisations,2025/26,47,2025-08-06,2026-06-24,7.4,10,13
ILI incidence,2024/25,41,2024-10-23,2025-07-30,12.3,16,21
ILI incidence,2025/26,50,2025-08-06,2026-07-15,11.4,20,21
