indicator,n_countries,countries
ARI incidence,25,"BE,BG,CY,CZ,DE,EE,ES,FI,FR,GB-ENG,GB-NIR,GB-SCT,GB-WLS,HU,IE,IS,IT,LT,LU,LV,NL,PT,RO,SI,SK"
COVID-19 hospitalisations,15,"CY,CZ,EE,ES,FR,GR,HU,IE,IT,LT,LV,MT,PL,PT,SK"
ILI incidence,30,"AT,BE,CH,CZ,DK,EE,ES,FI,FR,GB-ENG,GB-NIR,GB-SCT,GB-WLS,GR,HR,HU,IE,IS,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SI,SK"
